owner_occupancy_key,owner_occupancy_name
375,Owner-occupied as a principal dwelling
376,Owner-occupied as a principal dwelling
377,Owner-occupied as a principal dwelling
378,Not owner-occupied as a principal dwelling
379,Owner-occupied as a principal dwelling
380,Owner-occupied as a principal dwelling
381,Owner-occupied as a principal dwelling
382,Not owner-occupied as a principal dwelling
383,Owner-occupied as a principal dwelling
384,Owner-occupied as a principal dwelling
385,Owner-occupied as a principal dwelling
386,Owner-occupied as a principal dwelling
387,Owner-occupied as a principal dwelling
388,Owner-occupied as a principal dwelling
389,Owner-occupied as a principal dwelling
390,Owner-occupied as a principal dwelling
391,Owner-occupied as a principal dwelling
392,Owner-occupied as a principal dwelling
393,Owner-occupied as a principal dwelling
394,Owner-occupied as a principal dwelling
395,Not owner-occupied as a principal dwelling
396,Owner-occupied as a principal dwelling
397,Owner-occupied as a principal dwelling
398,Owner-occupied as a principal dwelling
399,Owner-occupied as a principal dwelling
400,Owner-occupied as a principal dwelling
401,Owner-occupied as a principal dwelling
402,Owner-occupied as a principal dwelling
403,Owner-occupied as a principal dwelling
404,Owner-occupied as a principal dwelling
405,Owner-occupied as a principal dwelling
406,Owner-occupied as a principal dwelling
407,Owner-occupied as a principal dwelling
408,Owner-occupied as a principal dwelling
409,Owner-occupied as a principal dwelling
410,Owner-occupied as a principal dwelling
411,Owner-occupied as a principal dwelling
412,Owner-occupied as a principal dwelling
413,Owner-occupied as a principal dwelling
414,Owner-occupied as a principal dwelling
415,Owner-occupied as a principal dwelling
416,Owner-occupied as a principal dwelling
417,Owner-occupied as a principal dwelling
418,Owner-occupied as a principal dwelling
419,Not owner-occupied as a principal dwelling
420,Owner-occupied as a principal dwelling
421,Not owner-occupied as a principal dwelling
422,Owner-occupied as a principal dwelling
423,Owner-occupied as a principal dwelling
424,Owner-occupied as a principal dwelling
425,Owner-occupied as a principal dwelling
426,Owner-occupied as a principal dwelling
427,Owner-occupied as a principal dwelling
428,Owner-occupied as a principal dwelling
429,Owner-occupied as a principal dwelling
430,Owner-occupied as a principal dwelling
431,Not owner-occupied as a principal dwelling
432,Owner-occupied as a principal dwelling
433,Owner-occupied as a principal dwelling
434,Not owner-occupied as a principal dwelling
435,Owner-occupied as a principal dwelling
436,Owner-occupied as a principal dwelling
437,Owner-occupied as a principal dwelling
438,Owner-occupied as a principal dwelling
439,Not owner-occupied as a principal dwelling
440,Owner-occupied as a principal dwelling
441,Owner-occupied as a principal dwelling
442,Owner-occupied as a principal dwelling
443,Owner-occupied as a principal dwelling
444,Owner-occupied as a principal dwelling
445,Owner-occupied as a principal dwelling
446,Owner-occupied as a principal dwelling
447,Owner-occupied as a principal dwelling
448,Owner-occupied as a principal dwelling
449,Owner-occupied as a principal dwelling
450,Owner-occupied as a principal dwelling
451,Owner-occupied as a principal dwelling
452,Owner-occupied as a principal dwelling
453,Owner-occupied as a principal dwelling
454,Owner-occupied as a principal dwelling
455,Owner-occupied as a principal dwelling
456,Not owner-occupied as a principal dwelling
457,Owner-occupied as a principal dwelling
458,Owner-occupied as a principal dwelling
459,Owner-occupied as a principal dwelling
460,Owner-occupied as a principal dwelling
461,Owner-occupied as a principal dwelling
462,Owner-occupied as a principal dwelling
463,Owner-occupied as a principal dwelling
464,Owner-occupied as a principal dwelling
465,Owner-occupied as a principal dwelling
466,Owner-occupied as a principal dwelling
467,Not owner-occupied as a principal dwelling
468,Not owner-occupied as a principal dwelling
469,Owner-occupied as a principal dwelling
470,Not owner-occupied as a principal dwelling
471,Owner-occupied as a principal dwelling
472,Owner-occupied as a principal dwelling
473,Owner-occupied as a principal dwelling
474,Not owner-occupied as a principal dwelling
475,Owner-occupied as a principal dwelling
476,Owner-occupied as a principal dwelling
477,Owner-occupied as a principal dwelling
478,Owner-occupied as a principal dwelling
479,Owner-occupied as a principal dwelling
480,Owner-occupied as a principal dwelling
481,Owner-occupied as a principal dwelling
482,Owner-occupied as a principal dwelling
483,Owner-occupied as a principal dwelling
484,Owner-occupied as a principal dwelling
485,Owner-occupied as a principal dwelling
486,Not owner-occupied as a principal dwelling
487,Owner-occupied as a principal dwelling
488,Owner-occupied as a principal dwelling
489,Owner-occupied as a principal dwelling
490,Owner-occupied as a principal dwelling
491,Owner-occupied as a principal dwelling
492,Owner-occupied as a principal dwelling
493,Owner-occupied as a principal dwelling
494,Owner-occupied as a principal dwelling
495,Owner-occupied as a principal dwelling
496,Owner-occupied as a principal dwelling
497,Owner-occupied as a principal dwelling
498,Owner-occupied as a principal dwelling
499,Owner-occupied as a principal dwelling
500,Owner-occupied as a principal dwelling
501,Owner-occupied as a principal dwelling
502,Owner-occupied as a principal dwelling
503,Owner-occupied as a principal dwelling
504,Owner-occupied as a principal dwelling
505,Owner-occupied as a principal dwelling
506,Owner-occupied as a principal dwelling
507,Owner-occupied as a principal dwelling
508,Owner-occupied as a principal dwelling
509,Owner-occupied as a principal dwelling
510,Owner-occupied as a principal dwelling
511,Owner-occupied as a principal dwelling
512,Not owner-occupied as a principal dwelling
513,Owner-occupied as a principal dwelling
514,Owner-occupied as a principal dwelling
515,Owner-occupied as a principal dwelling
516,Owner-occupied as a principal dwelling
517,Owner-occupied as a principal dwelling
518,Owner-occupied as a principal dwelling
519,Owner-occupied as a principal dwelling
520,Owner-occupied as a principal dwelling
521,Owner-occupied as a principal dwelling
522,Owner-occupied as a principal dwelling
523,Owner-occupied as a principal dwelling
524,Owner-occupied as a principal dwelling
525,Owner-occupied as a principal dwelling
526,Owner-occupied as a principal dwelling
527,Owner-occupied as a principal dwelling
528,Owner-occupied as a principal dwelling
529,Owner-occupied as a principal dwelling
530,Owner-occupied as a principal dwelling
531,Owner-occupied as a principal dwelling
532,Owner-occupied as a principal dwelling
533,Owner-occupied as a principal dwelling
534,Not owner-occupied as a principal dwelling
535,Owner-occupied as a principal dwelling
536,Not owner-occupied as a principal dwelling
537,Owner-occupied as a principal dwelling
538,Owner-occupied as a principal dwelling
539,Not applicable
540,Not owner-occupied as a principal dwelling
541,Owner-occupied as a principal dwelling
542,Owner-occupied as a principal dwelling
543,Owner-occupied as a principal dwelling
544,Owner-occupied as a principal dwelling
545,Owner-occupied as a principal dwelling
546,Owner-occupied as a principal dwelling
547,Owner-occupied as a principal dwelling
548,Owner-occupied as a principal dwelling
549,Owner-occupied as a principal dwelling
550,Owner-occupied as a principal dwelling
551,Owner-occupied as a principal dwelling
552,Owner-occupied as a principal dwelling
553,Owner-occupied as a principal dwelling
554,Owner-occupied as a principal dwelling
555,Owner-occupied as a principal dwelling
556,Owner-occupied as a principal dwelling
557,Not owner-occupied as a principal dwelling
558,Not owner-occupied as a principal dwelling
559,Not owner-occupied as a principal dwelling
560,Owner-occupied as a principal dwelling
561,Owner-occupied as a principal dwelling
562,Owner-occupied as a principal dwelling
563,Owner-occupied as a principal dwelling
564,Owner-occupied as a principal dwelling
565,Owner-occupied as a principal dwelling
566,Owner-occupied as a principal dwelling
567,Owner-occupied as a principal dwelling
